token_1,ws,token_2,count
COMMENT,1_NL,package,15738
package,1_SP,IDENTIFIER,26989
IDENTIFIER,0_None,.,2084067
.,0_None,IDENTIFIER,2377405
IDENTIFIER,0_None,;,526214
;,2_NL,import,41069
import,1_SP,IDENTIFIER,244929
;,1_NL,import,212596
;,2_NL,COMMENT,58330
COMMENT,1_NL,public,53441
public,1_SP,class,17903
class,1_SP,IDENTIFIER,26056
IDENTIFIER,1_SP,implements,8485
implements,1_SP,IDENTIFIER,9624
IDENTIFIER,1_SP,{,63857
{,1_NL_4_SP,private,7208
private,1_SP,static,21339
static,1_SP,final,26612
final,1_SP,IDENTIFIER,78430
IDENTIFIER,1_SP,IDENTIFIER,630974
IDENTIFIER,1_SP,=,414140
=,1_SP,STRING_LITERAL,24812
STRING_LITERAL,0_None,;,22746
;,1_NL,private,38019
private,1_SP,IDENTIFIER,48029
;,2_NL,AT,8727
AT,0_None,IDENTIFIER,138461
IDENTIFIER,1_NL,public,90540
public,1_SP,void,51659
void,1_SP,IDENTIFIER,80605
IDENTIFIER,0_None,(,1614614
(,0_None,IDENTIFIER,849226
IDENTIFIER,0_None,),640988
),1_SP,{,351063
{,1_NL_4_SP,IDENTIFIER,134863
=,1_SP,IDENTIFIER,246313
.,1_NL_8_SP,IDENTIFIER,492
(,0_None,),632371
),0_None,),262855
),0_None,;,733417
;,2_NL_8_SP,IDENTIFIER,1263
;,1_NL,if,48091
if,0_None,(,17995
IDENTIFIER,1_SP,!=,38708
!=,1_SP,NULL_LITERAL,44522
NULL_LITERAL,0_None,),55557
),0_None,{,2777
{,1_NL_4_SP,try,6111
try,1_SP,{,20850
IDENTIFIER,0_None,<,216910
<,0_None,?,9490
?,0_None,>,6748
>,1_SP,IDENTIFIER,148732
;,1_NL,IDENTIFIER,201383
.,0_None,class,23304
class,0_None,.,5006
),0_None,.,180281
=,1_SP,(,15577
),1_SP,IDENTIFIER,33573
;,1_NL_4_SP,},276604
},1_SP,catch,23873
catch,1_SP,(,27035
{,1_NL_4_SP,throw,19129
throw,1_SP,new,45720
new,1_SP,IDENTIFIER,179184
(,0_None,STRING_LITERAL,136423
STRING_LITERAL,1_SP,+,52818
+,1_SP,IDENTIFIER,53832
IDENTIFIER,1_SP,+,32705
+,1_NL_8_SP,STRING_LITERAL,1093
IDENTIFIER,0_None,",",704152
",",1_SP,IDENTIFIER,680464
;,1_NL_12_SP,},10608
},1_NL_4_SP,},66177
},2_NL,if,7806
},2_NL_4_SP,},4067
},2_NL,AT,75186
{,1_NL_4_SP,if,24474
},1_NL,EOF,24638
IDENTIFIER,1_SP,extends,14877
extends,1_SP,IDENTIFIER,18842
{,2_NL_4_SP,private,2764
final,1_SP,long,3601
long,1_SP,IDENTIFIER,34319
=,1_SP,INTEGER_LITERAL,22664
INTEGER_LITERAL,0_None,;,33301
public,1_SP,boolean,16160
boolean,1_SP,IDENTIFIER,44290
IDENTIFIER,0_None,[,36719
[,0_None,],30573
],1_SP,IDENTIFIER,24113
",",1_NL_8_SP,IDENTIFIER,11777
{,1_NL_4_SP,if,462
(,0_None,!,20269
!,1_SP,(,11
IDENTIFIER,1_SP,instanceof,9355
instanceof,1_SP,IDENTIFIER,11562
{,1_NL_4_SP,return,78265
return,1_SP,BOOL_LITERAL,17180
BOOL_LITERAL,0_None,;,26824
},2_NL,COMMENT,76261
COMMENT,1_NL,COMMENT,32752
COMMENT,1_NL,IDENTIFIER,52417
=,1_SP,new,75107
COMMENT,1_NL,for,2839
for,1_SP,(,34370
(,1_SP,int,4755
int,1_SP,IDENTIFIER,75140
IDENTIFIER,0_None,=,1741
=,0_None,INTEGER_LITERAL,303
;,1_SP,IDENTIFIER,17364
IDENTIFIER,1_SP,<,12446
<,1_SP,IDENTIFIER,10633
IDENTIFIER,0_None,++,12912
++,1_SP,),1374
if,1_SP,(,163048
(,1_SP,STRING_LITERAL,15272
STRING_LITERAL,0_None,.,1872
(,1_SP,IDENTIFIER,150563
[,0_None,IDENTIFIER,18571
IDENTIFIER,0_None,],15468
],1_SP,),1250
),1_SP,),34948
],1_SP,=,5364
},1_SP,else,49765
else,1_SP,if,28362
},1_NL,return,21815
{,2_NL_4_SP,if,384
],0_None,),5091
),1_SP,||,3176
||,1_NL_6_SP,STRING_LITERAL,2
{,1_NL_2_SP,IDENTIFIER,655
COMMENT,1_NL,AT,21586
COMMENT,2_NL,public,748
IDENTIFIER,1_NL_8_SP,implements,115
{,2_NL_4_SP,private,88
<,0_None,IDENTIFIER,172004
IDENTIFIER,0_None,>,161965
;,1_NL,public,6214
public,1_SP,static,24924
{,2_NL,},639
STRING_LITERAL,0_None,),109506
),1_NL,AT,3874
{,1_NL_4_SP,final,2782
class,0_None,),9427
),1_NL_8_SP,.,3860
),1_NL,.,13959
;,1_NL_8_SP,IDENTIFIER,4271
>,0_None,),1623
